index,name
1,ROI_0
3,ROI_1
4,ROI_2
6,ROI_3
7,ROI_4
8,ROI_5
9,ROI_6
10,ROI_7
12,ROI_8
13,ROI_9
14,ROI_10
15,ROI_11
16,ROI_12
17,ROI_13
18,ROI_14
19,ROI_15
20,ROI_16
21,ROI_17
22,ROI_18
23,ROI_19
24,ROI_20
26,ROI_21
27,ROI_22
28,ROI_23
29,ROI_24
30,ROI_25
31,ROI_26
32,ROI_27
33,ROI_28
35,ROI_29
36,ROI_30
37,ROI_31
38,ROI_32
39,ROI_33
40,ROI_34
41,ROI_35
42,ROI_36
43,ROI_37
44,ROI_38
45,ROI_39
46,ROI_40
47,ROI_41
48,ROI_42
49,ROI_43
50,ROI_44
51,ROI_45
52,ROI_46
53,ROI_47
54,ROI_48
55,ROI_49
56,ROI_50
57,ROI_51
58,ROI_52
59,ROI_53
60,ROI_54
61,ROI_55
62,ROI_56
63,ROI_57
64,ROI_58
65,ROI_59
66,ROI_60
67,ROI_61
69,ROI_62
70,ROI_63
71,ROI_64
72,ROI_65
73,ROI_66
74,ROI_67
75,ROI_68
76,ROI_69
77,ROI_70
78,ROI_71
79,ROI_72
80,ROI_73
81,ROI_74
83,ROI_75
84,ROI_76
85,ROI_77
86,ROI_78
87,ROI_79
88,ROI_80
89,ROI_81
90,ROI_82
91,ROI_83
92,ROI_84
93,ROI_85
94,ROI_86
96,ROI_87
97,ROI_88
98,ROI_89
99,ROI_90
100,ROI_91
101,ROI_92
102,ROI_93
103,ROI_94
104,ROI_95
105,ROI_96
106,ROI_97
107,ROI_98
108,ROI_99
109,ROI_100
110,ROI_101
111,ROI_102
112,ROI_103
113,ROI_104
114,ROI_105
115,ROI_106
116,ROI_107
117,ROI_108
118,ROI_109
119,ROI_110
120,ROI_111
121,ROI_112
122,ROI_113
123,ROI_114
124,ROI_115
125,ROI_116
127,ROI_117
128,ROI_118
129,ROI_119
130,ROI_120
131,ROI_121
132,ROI_122
133,ROI_123
134,ROI_124
135,ROI_125
136,ROI_126
137,ROI_127
138,ROI_128
139,ROI_129
140,ROI_130
141,ROI_131
142,ROI_132
143,ROI_133
144,ROI_134
145,ROI_135
146,ROI_136
147,ROI_137
148,ROI_138
149,ROI_139
150,ROI_140
151,ROI_141
152,ROI_142
153,ROI_143
154,ROI_144
155,ROI_145
156,ROI_146
157,ROI_147
158,ROI_148
159,ROI_149
160,ROI_150
161,ROI_151
162,ROI_152
163,ROI_153
164,ROI_154
165,ROI_155
166,ROI_156
167,ROI_157
168,ROI_158
169,ROI_159
170,ROI_160
171,ROI_161
172,ROI_162
173,ROI_163
174,ROI_164
175,ROI_165
176,ROI_166
177,ROI_167
178,ROI_168
179,ROI_169
180,ROI_170
181,ROI_171
182,ROI_172
183,ROI_173
184,ROI_174
185,ROI_175
186,ROI_176
187,ROI_177
188,ROI_178
189,ROI_179
190,ROI_180
192,ROI_181
193,ROI_182
194,ROI_183
195,ROI_184
196,ROI_185
197,ROI_186
198,ROI_187
199,ROI_188
200,ROI_189
