index,name
1,Background
2,L G_and_S_frontomargin
3,L G_and_S_occipital_inf
4,L G_and_S_paracentral
5,L G_and_S_subcentral
6,L G_and_S_transv_frontopol
7,L G_and_S_cingul-Ant
8,L G_and_S_cingul-Mid-Ant
9,L G_and_S_cingul-Mid-Post
10,L G_cingul-Post-dorsal
11,L G_cingul-Post-ventral
12,L G_cuneus
13,L G_front_inf-Opercular
14,L G_front_inf-Orbital
15,L G_front_inf-Triangul
16,L G_front_middle
17,L G_front_sup
18,L G_Ins_lg_and_S_cent_ins
19,L G_insular_short
20,L G_occipital_middle
21,L G_occipital_sup
22,L G_oc-temp_lat-fusifor
23,L G_oc-temp_med-Lingual
24,L G_oc-temp_med-Parahip
25,L G_orbital
26,L G_pariet_inf-Angular
27,L G_pariet_inf-Supramar
28,L G_parietal_sup
29,L G_postcentral
30,L G_precentral
31,L G_precuneus
32,L G_rectus
33,L G_subcallosal
34,L G_temp_sup-G_T_transv
35,L G_temp_sup-Lateral
36,L G_temp_sup-Plan_polar
37,L G_temp_sup-Plan_tempo
38,L G_temporal_inf
39,L G_temporal_middle
40,L Lat_Fis-ant-Horizont
41,L Lat_Fis-ant-Vertical
42,L Lat_Fis-post
43,L Medial_wall
44,L Pole_occipital
45,L Pole_temporal
46,L S_calcarine
47,L S_central
48,L S_cingul-Marginalis
49,L S_circular_insula_ant
50,L S_circular_insula_inf
51,L S_circular_insula_sup
52,L S_collat_transv_ant
53,L S_collat_transv_post
54,L S_front_inf
55,L S_front_middle
56,L S_front_sup
57,L S_interm_prim-Jensen
58,L S_intrapariet_and_P_trans
59,L S_oc_middle_and_Lunatus
60,L S_oc_sup_and_transversal
61,L S_occipital_ant
62,L S_oc-temp_lat
63,L S_oc-temp_med_and_Lingual
64,L S_orbital_lateral
65,L S_orbital_med-olfact
66,L S_orbital-H_Shaped
67,L S_parieto_occipital
68,L S_pericallosal
69,L S_postcentral
70,L S_precentral-inf-part
71,L S_precentral-sup-part
72,L S_suborbital
73,L S_subparietal
74,L S_temporal_inf
75,L S_temporal_sup
76,L S_temporal_transverse
77,R G_and_S_frontomargin
78,R G_and_S_occipital_inf
79,R G_and_S_paracentral
80,R G_and_S_subcentral
81,R G_and_S_transv_frontopol
82,R G_and_S_cingul-Ant
83,R G_and_S_cingul-Mid-Ant
84,R G_and_S_cingul-Mid-Post
85,R G_cingul-Post-dorsal
86,R G_cingul-Post-ventral
87,R G_cuneus
88,R G_front_inf-Opercular
89,R G_front_inf-Orbital
90,R G_front_inf-Triangul
91,R G_front_middle
92,R G_front_sup
93,R G_Ins_lg_and_S_cent_ins
94,R G_insular_short
95,R G_occipital_middle
96,R G_occipital_sup
97,R G_oc-temp_lat-fusifor
98,R G_oc-temp_med-Lingual
99,R G_oc-temp_med-Parahip
100,R G_orbital
101,R G_pariet_inf-Angular
102,R G_pariet_inf-Supramar
103,R G_parietal_sup
104,R G_postcentral
105,R G_precentral
106,R G_precuneus
107,R G_rectus
108,R G_subcallosal
109,R G_temp_sup-G_T_transv
110,R G_temp_sup-Lateral
111,R G_temp_sup-Plan_polar
112,R G_temp_sup-Plan_tempo
113,R G_temporal_inf
114,R G_temporal_middle
115,R Lat_Fis-ant-Horizont
116,R Lat_Fis-ant-Vertical
117,R Lat_Fis-post
118,R Medial_wall
119,R Pole_occipital
120,R Pole_temporal
121,R S_calcarine
122,R S_central
123,R S_cingul-Marginalis
124,R S_circular_insula_ant
125,R S_circular_insula_inf
126,R S_circular_insula_sup
127,R S_collat_transv_ant
128,R S_collat_transv_post
129,R S_front_inf
130,R S_front_middle
131,R S_front_sup
132,R S_interm_prim-Jensen
133,R S_intrapariet_and_P_trans
134,R S_oc_middle_and_Lunatus
135,R S_oc_sup_and_transversal
136,R S_occipital_ant
137,R S_oc-temp_lat
138,R S_oc-temp_med_and_Lingual
139,R S_orbital_lateral
140,R S_orbital_med-olfact
141,R S_orbital-H_Shaped
142,R S_parieto_occipital
143,R S_pericallosal
144,R S_postcentral
145,R S_precentral-inf-part
146,R S_precentral-sup-part
147,R S_suborbital
148,R S_subparietal
149,R S_temporal_inf
150,R S_temporal_sup
151,R S_temporal_transverse
