index,name
2,ROI_0
4,ROI_1
5,ROI_2
7,ROI_3
8,ROI_4
10,ROI_5
11,ROI_6
12,ROI_7
13,ROI_8
14,ROI_9
15,ROI_10
16,ROI_11
17,ROI_12
18,ROI_13
24,ROI_14
26,ROI_15
28,ROI_16
30,ROI_17
31,ROI_18
41,ROI_19
43,ROI_20
44,ROI_21
46,ROI_22
47,ROI_23
49,ROI_24
50,ROI_25
51,ROI_26
52,ROI_27
53,ROI_28
54,ROI_29
58,ROI_30
60,ROI_31
62,ROI_32
63,ROI_33
77,ROI_34
80,ROI_35
85,ROI_36
251,ROI_37
252,ROI_38
253,ROI_39
254,ROI_40
255,ROI_41
1000,ROI_42
1001,ROI_43
1002,ROI_44
1003,ROI_45
1005,ROI_46
1006,ROI_47
1007,ROI_48
1008,ROI_49
1009,ROI_50
1010,ROI_51
1011,ROI_52
1012,ROI_53
1013,ROI_54
1014,ROI_55
1015,ROI_56
1016,ROI_57
1017,ROI_58
1018,ROI_59
1019,ROI_60
1020,ROI_61
1021,ROI_62
1022,ROI_63
1023,ROI_64
1024,ROI_65
1025,ROI_66
1026,ROI_67
1027,ROI_68
1028,ROI_69
1029,ROI_70
1030,ROI_71
1031,ROI_72
1032,ROI_73
1033,ROI_74
1034,ROI_75
1035,ROI_76
2000,ROI_77
2001,ROI_78
2002,ROI_79
2003,ROI_80
2005,ROI_81
2006,ROI_82
2007,ROI_83
2008,ROI_84
2009,ROI_85
2010,ROI_86
2011,ROI_87
2012,ROI_88
2013,ROI_89
2014,ROI_90
2015,ROI_91
2016,ROI_92
2017,ROI_93
2018,ROI_94
2019,ROI_95
2020,ROI_96
2021,ROI_97
2022,ROI_98
2023,ROI_99
2024,ROI_100
2025,ROI_101
2026,ROI_102
2027,ROI_103
2028,ROI_104
2029,ROI_105
2030,ROI_106
2031,ROI_107
2032,ROI_108
2033,ROI_109
2034,ROI_110
2035,ROI_111
